query_id,query_text
q1,Де подають смачну зупу з лисичками?
q2,Шукаю заклад з домашньою атмосферою та стравами як у бабусі
q3,Де у Львові можна послухати стендап?
q4,Найкращі заклади з грузинською кухнею та хінкалі
q5,Де спробувати десерт андрути?
q6,Заклади з дуже швидким та якісним обслуговуванням
q7,Де можна поїсти м'які та смачні реберця?
q8,Шукаю затишне місце для вечері з наливками
q9,Де подають великі порції та смачну курку?
q10,Заклади з приємним персоналом у центрі
q11,Де найкраща грибна юшка у Львові?
q12,Заклади де затишно навіть у непростий час
q13,Де спробувати справжній віденський шніцель?
q14,Шукаю місце де офіціанти дуже привітні
q15,Найкращі заклади для вечірнього відпочинку з друзями
q16,Де поїсти по-домашньому смачно?
q17,Заклади з приємними цінами та гарною атмосферою
q18,Де у Львові найкраще обслуговування?
q19,Шукаю заклад з назвою Вулик
q20,Де виступають коміки у Львові?
q21,Де у Львові можна поїсти хінкалі на Кривій Липі?
q22,Шукаю затишне місце з комфортною температурою всередині
q23,Де подають смачну картопельку з м'ясом?
q24,Найкращий сервіс у ресторанах Львова
q25,Де спробувати традиційні львівські солодощі?
q26,Заклади з високим рейтингом від відвідувачів
q27,Де у Львові готують найкращі гарячі страви?
q28,Шукаю місце для вечері в центрі міста
q29,Де можна смачно поїсти та відпочити?
q30,Заклади з особливою атмосферою старого Львова
q31,Де офіціантка Надійка надає гарний сервіс?
q32,Шукаю заклади з великим вибором наливок
q33,Де у Львові можна поїсти зупу?
q34,Заклади з комфортними людьми та персоналом
q35,Де подають найкращий десерт як у дитинстві?
q36,Шукаю ресторан з гарними відгуками про кухню
q37,Де поїсти в закладі Довгі Бурхливі Оплески?
q38,Де найсмачніша грузинська їжа в центрі?
q39,Заклади з дуже м'яким м'ясом
q40,Де у Львові найкраща атмосфера для стендапу?
